Job Title,Salary Estimate,Job Function,Job Description,Company Name,Rating,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Analyst,$40K - $73K (Glassdoor est.),Data Analyst,"Data Analyst

Role Responsibilities

Responsible for building brighter financial futures by providing data to aid in business decision-making and improved efficiency in the following ways:
designs reports, spreadsheets, visualizations, dashboards and other data output, converting complex data and findings into understandable tables, charts, and written reports, as necessary;",Texas Trust Credit Union,3.8,"Arlington, TX",201 to 500 Employees,1936,Company - Private,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
Data Engineer,$46K - $87K (Glassdoor est.),Data Engineer,"Overview:
Do you enjoy working with other people and finding solutions when everyone else only see problems?
Are you compelled to initiate action and remain proactive in getting things done?
Do you take pride in the work you accomplish?
Does success motivate you to want to do more and be better?
Can you handle multiple projects at the same time and smile?
If you can answer yes to these questions Idaho Central Credit Union is ready for you to join our team!

The Data Engineer is responsible for architecting, managing, optimizing, overseeing and monitoring data retrieval, storage and distribution. This role is responsible for the technical aspects and enhancements of the data integration tools, enterprise data warehouse, data lake, and enterprise reporting tools.

Responsibilities:


Qualifications:",Idaho Central Credit Union,4.5,"Chubbuck, ID",1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD)
Data Scientist - ETL Pipelining,$117K - $138K (Glassdoor est.),Data Scientist,"At Bloomberg, our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Global Data, we""re responsible for delivering this data, news and analytics through innovative technology - quickly and accurately.

Our Global Data team drives the algorithms and analytics at the core of what we do. Working across industries and asset classes, we draw on expertise from all backgrounds to identify the most impactful insights for our clients. We build on our knowledge of data trends to determine how customer needs might change over time, and code the foundation to support those changes.

Whether it""s providing datasets to track market-moving economic events, or quantifying extreme weather effects on companies, we write the programs, analyze patterns, and make recommendations to grow business success across the firm. The entire organization utilizes Global Data to forecast, set, and achieve their own goals. Our work leads directly to client satisfaction, which contributes to Bloomberg""s profitability and ability to keep innovating.

We""re looking to hire qualified professionals into either our Economics Data Team or our Geospatial Data Team. Both of these teams sit under our Global Data umbrella, and work to synthesize meaningful solutions for our clients. These teams are looking for professionally experienced individuals to join their ranks and add on to the great wealth of knowledge we have in-house.







Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.

Bloomberg is committed to diversity. It drives our innovation. At Bloomberg, you'll have the opportunity to go above and beyond and to take risks. You'll be a part of an organization that is entering new markets, launching new ventures, and pushing boundaries. Our ever-expanding array of technology, data, news, and media services champions innovation and empowers clients - and offers nearly limitless opportunities for career growth.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We bring out the best in each other.",Bloomberg,4.1,"Princeton, NJ",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Data Scientist,-1,Data Scientist,"Company: Herdt Consulting, Inc.
An excellent opportunity with a highly successful, Veteran-Owned Small Business (VOSB). Every day, our clients trust Herdt to help navigate their most complex business and organizational challenges. We partner with our clients at all levels to ensure all business objectives are fully realized. Herdt provides project management, process and leadership support as well as specialized technical support to the U.S. Department of Defense (DoD) and other Federal agencies. Herdt employees are accomplished individuals who have served as hands-on leaders in the U.S. military and private industry - We hire the best. Our employees lead some of the most complex enterprise business systems and business processes through implementation and sustainment. We are valued for our technical knowledge, business process expertise and industry best-practice solutions.",Herdt Consulting Inc,4.5,"Norfolk, VA",51 to 200 Employees,-1,Company - Private,Consulting,Business Services,$10 to $25 million (USD)
Research Data Scientist,-1,Data Scientist,"IAI is looking for a talented research scientist to contribute to research and development efforts in machine learning, graph theory, and scientific software development. The candidate will incorporate novel ideas and improve the state of the art on advanced projects related to processing of large networks, analyzing data in high dimensions and implementing high performance computing software. Additionally, the candidate will develop a portfolio of related research by extending existing work and proposing new methods with novel application domains.

You are highly encouraged to apply if you enjoy working with data and algorithms, passionate about understanding how things work, want to solve complex problems and strive to stay current on the technology and literature in areas of high performance computing, network analysis and machine learning.",Intelligent Automation,3.7,"Rockville, MD",51 to 200 Employees,1987,Company - Private,"Health, Beauty, & Fitness",Consumer Services,$25 to $50 million (USD)
Staff/Senior Scientist,-1,Research Scientist,"Staff Scientist
Job Description
Aerosol Research & Engineering Laboratories (ARE Labs) currently has an open position for an experienced Scientist or Test Engineer. ARE Labs is a small company that specializes in all aspects of aerosol science including pharmaceutical, biological, inhalation and general aerosol science programs. This field is a small niche field, however, it is a very high-demand career with long-term job security for the foreseeable future in pharmaceutical, biological, inhalational science fields.
Our philosophy can be summarized as:
Treat every client’s project as if you are contracting it out to others; i.e. “do unto others as you would have done unto you,” and","Aerosol Research and Engineering Laboratories, Inc.",-1,"Olathe, KS",-1,-1,-1,-1,-1,-1
Data Engineer,$46K - $87K (Glassdoor est.),Data Engineer,"Overview:
Do you enjoy working with other people and finding solutions when everyone else only see problems?
Are you compelled to initiate action and remain proactive in getting things done?
Do you take pride in the work you accomplish?
Does success motivate you to want to do more and be better?
Can you handle multiple projects at the same time and smile?
If you can answer yes to these questions Idaho Central Credit Union is ready for you to join our team!

The Data Engineer is responsible for architecting, managing, optimizing, overseeing and monitoring data retrieval, storage and distribution. This role is responsible for the technical aspects and enhancements of the data integration tools, enterprise data warehouse, data lake, and enterprise reporting tools.

Responsibilities:


Qualifications:",Idaho Central Credit Union,4.5,"Chubbuck, ID",1001 to 5000 Employees,1940,Nonprofit Organization,Banks & Credit Unions,Finance,$50 to $100 million (USD)
Data Analyst,$40K - $73K (Glassdoor est.),Data Analyst,"Data Analyst

Role Responsibilities

Responsible for building brighter financial futures by providing data to aid in business decision-making and improved efficiency in the following ways:
designs reports, spreadsheets, visualizations, dashboards and other data output, converting complex data and findings into understandable tables, charts, and written reports, as necessary;",Texas Trust Credit Union,3.8,"Arlington, TX",201 to 500 Employees,1936,Company - Private,Banks & Credit Unions,Finance,$2 to $5 billion (USD)
Data Scientist - ETL Pipelining,$117K - $138K (Glassdoor est.),Data Scientist,"At Bloomberg, our products are fueled by powerful information. We combine data and context to paint the whole picture for our clients, around the clock - from around the world. In Global Data, we""re responsible for delivering this data, news and analytics through innovative technology - quickly and accurately.

Our Global Data team drives the algorithms and analytics at the core of what we do. Working across industries and asset classes, we draw on expertise from all backgrounds to identify the most impactful insights for our clients. We build on our knowledge of data trends to determine how customer needs might change over time, and code the foundation to support those changes.

Whether it""s providing datasets to track market-moving economic events, or quantifying extreme weather effects on companies, we write the programs, analyze patterns, and make recommendations to grow business success across the firm. The entire organization utilizes Global Data to forecast, set, and achieve their own goals. Our work leads directly to client satisfaction, which contributes to Bloomberg""s profitability and ability to keep innovating.

We""re looking to hire qualified professionals into either our Economics Data Team or our Geospatial Data Team. Both of these teams sit under our Global Data umbrella, and work to synthesize meaningful solutions for our clients. These teams are looking for professionally experienced individuals to join their ranks and add on to the great wealth of knowledge we have in-house.







Apply if you think we're a good match. We'll get in touch to let you know what the next steps are.

Bloomberg is committed to diversity. It drives our innovation. At Bloomberg, you'll have the opportunity to go above and beyond and to take risks. You'll be a part of an organization that is entering new markets, launching new ventures, and pushing boundaries. Our ever-expanding array of technology, data, news, and media services champions innovation and empowers clients - and offers nearly limitless opportunities for career growth.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We bring out the best in each other.",Bloomberg,4.1,"Princeton, NJ",10000+ Employees,1981,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable
Health Data Analyst,$48K - $84K (Glassdoor est.),Data Analyst,"Wednesday, March 3, 2021

JOB SUMMARY:

Extract and analyze health care data for specific studies and corporate initiatives, assisting with data intensive projects. Serve as a technical resource to department staff and management. Work with management of operational areas to assist them in accumulating data to meet their needs. Provide advice to management regarding effective techniques to analyze and report on data to display the most effective result.

ESSENTIAL JOB FUNCTIONS:
Perform routine to moderately complex analysis and design for various business applications.",Blue Cross & Blue Shield of Rhode Island,3.6,"Providence, RI",501 to 1000 Employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,Unknown / Non-Applicable
Data Analyst,-1,Data Analyst,"Book of the Month is hiring a Data Analyst who will work with Marketing, Growth, Operations, Finance, and Product to analyze data for decision making purposes. We are an extremely data driven company and this role will have an impact on strategic initiatives and objectives.

You will
Utilize SQL to write new queries and support new reports, as well as edit, maintain, and improve existing reports and datasets.
Build reports and dashboards in Tableau to identify growth/optimization opportunities, monitor daily operations, and evaluate new initiatives.
Consider and recommend ways in which the team could be using dashboards to evaluate performance and better inform decision making.
Serve as the point person for data requests from members of the team and follow up regarding context, deadlines, etc.
About you
Powered by JazzHR",Book of the Month,4.5,"New York, NY",1 to 50 Employees,1926,Company - Private,Media & Entertainment Retail Stores,Retail,Unknown / Non-Applicable
Analytical Research & Development Scientist,-1,Research Engineer,"Summary of role
The Analytical R&D Scientist I is accountable for driving results in a fast-paced environment by independently executing development of analytical methods and improvement of existing ones to support API development program for Sterling facilities. This requires skills and knowledge in handling, analyzing and characterizing chemicals, pharmaceuticals, and related organic molecules. It also requires hands on experience in analytical techniques such as HPLC, GC, etc. The Scientist independently drafts analytical development reports and drafts and executes validation protocols for analytical methods. The ideal candidate will independently perform and review data analysis and draft reports for analytical method development and validation. The ideal candidate has the proven ability to apply scientific principles, theories and concepts to research problems and develop solutions for analytical problems related to drug substances in compliance with appropriate Standard Operating Procedures (SOPs) and regulatory guidelines.",Sterling Pharma Solutions,-1,"Germantown, WI",-1,-1,-1,-1,-1,-1
Data Engineer,$95K - $176K (Glassdoor est.),Data Engineer,"About the Role
In this exciting role, you will:
Help us build state-of-art data processing framework for our security-oriented IoT platform
Work to architect a big data platform that is real-time, stable and scalable in order to support data analytics, reporting, data visualization and machine learning
The Data Engineer can also expect to:
Design and develop ETL for the new big data platform with open source technologies such as Kafka, Spark, and Presto etc.",Brivo,3.5,"Bethesda, MD",51 to 200 Employees,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD)
Cloud Data Engineer,-1,Data Engineer,"Who We Are!
At Maven Wave, we are relentless in hiring the industry's top talent. Each employee is hand-picked not only for their skills, but for their personality and broad expertise. We are looking for this rare combination of talent that sets us apart in the industry.
Maven Wave helps leading companies make the shift to digital and shorten the fuse to innovation. We combine the expertise of top-tier consulting with the agility of a cutting-edge technology firm. This multidisciplinary blend of skills allows us to create unique digital advantages for our clients. Maven Wave's digital solutions are agile, mobile, rooted in analytics, and built in the cloud.

Maven Wave, Google, and YOU: Help us build data driven cloud solutions.",Maven Wave,4.6,Illinois,201 to 500 Employees,2008,Company - Private,Consulting,Business Services,$50 to $100 million (USD)
Quantitative Data Analyst,$60K - $63K (Glassdoor est.),Data Analyst,"At Cogo Labs, we build startup companies from scratch.

We're not venture capitalists we're a collaborative team of engineers, analysts, and entrepreneurs using innovative tools, big data, and intellectual curiosity to build a platform that spins up successful online businesses, fast. We are committed to hiring analysts with diverse backgrounds in all industries such as finance, marketing, sales, data management, quantitative analysis, and mathematics.

As a Cogo Labs Quantitative Data Analyst, you'll run and grow business lines within our incubator. You'll design and implement marketing programs, analyze performance metrics, and use the insights you gain to drive growth in audience engagement and revenue. Your expertise, ideas, and hard work will have a direct and immediate impact on the success of your project.










Thinking small is a self-fulfilling prophecy. Leaders strive to spend their time exclusively on what's important, and they shed the rest. They seek out the highest return on their team's time and effort.



Leaders work backwards from the solution to generate plans. They use data to be sure their time and effort are always leveraged at the most impactful work. They admit when they are wrong and use the data to eliminate their blind spots.



Leaders create value from spare and under-utilized parts. They're resourceful and tenacious. They expect and require innovation and invention from their teams, and they find ways to simplify. They are situationally aware; they look for good ideas from anywhere.



Leaders keep the standards relentlessly high. They demand high quality products, services, and processes because they deliver high quality products, services, and processes. Leaders solve root problems and ensure that when problems get fixed, they stay fixed.



Leaders run everywhere they go. Many decisions and actions are reversible and don't need extensive study. Leaders value calculated risk taking because they know that in business, speed wins.



Leaders listen attentively, speak candidly, and treat others respectfully. They are vocally self-critical, even when doing so is difficult or embarrassing. Leaders are not arrogant. They benchmark themselves against the best and identify their gaps.



Leaders raise the bar with every hire and promotion. They want to work with other leaders. They recognize exceptional talent and enthusiastically propel them throughout the organization. Leaders are serious about their role in coaching others.



Leaders think long-term and don't sacrifice long-term value for short-term results. They own all the inputs to their business. They act on behalf of the entire company, beyond just their own team.



Leaders respectfully challenge decisions when they disagree, even when doing so is uncomfortable or awkward. They have conviction; they do not compromise in the name of social niceties. Once a decision is reached, they commit wholly.



Leaders operate at once with immense perspective and granular detail. No task is beneath them. They audit frequently, and they are skeptical when metrics and anecdote differ.



Leaders focus their time on the key drivers for their business. They pursue them obsessively to deliver results with the right quality and in a timely fashion. They rise to the occasion and never compromise.",Cogo Labs,3.4,"Cambridge, MA",51 to 200 Employees,2005,Company - Private,Internet,Information Technology,Unknown / Non-Applicable
"Structural Biology Scientist (Rochester, MN)",$53K - $62K (Glassdoor est.),Biologist,"At Imanis, our multi-disciplinary team works together to positively impact the lives of cancer patients by developing novel gene and oncolytic virus therapies. We are looking for a dynamic and self-motivated scientist skilled in virology and immune-oncology to join us today. Together, we will define and deliver tomorrow’s medicines!
Company Description:
Imanis Life Sciences was founded in 2012 with the mission to accelerate the development of novel virus, gene and cell therapies through providing best in class reporter gene technologies and oncolytic virotherapies. The Imanis team is comprised of PhD, MSc and BSc level scientists who are passionate about providing the best in class oncolytic virotherapies. Our facilities are located in the Rochester Technology Campus in Rochester Minnesota, home of the world-renowned Mayo Clinic.",Imanis Life Sciences,-1,"Rochester, MN",-1,-1,-1,-1,-1,-1
Decision Scientist,$98K - $144K (Glassdoor est.),Data Scientist,"Guild is hiring for a Decision Scientist who will sit at the intersection of data, technology, business operations, and internal strategy, to help inform Guild's most interesting business needs. You will work across the company to serve as a thought partner and data expert to help drive data driven decisions, build algorithms and tools.

As a Decision Scientist you will:
Serve as the primary analytics partner for teams across the organization including Marketing, Product, and Student Operations to help teams make the best data informed decisions by deeply understanding trends, advising on best practices for collecting data, and building statistical models.
Identify, validate, and make use of structured and unstructured data from disparate data sources in order to perform analyses aimed at highlighting trends and opportunities.
In addition to working on the Decision and Data Science team, in this role you will collaborate with other Guild leaders including: Kalyan Nanduru, Kate Rossiter, and Christine Hettinger.



Guild is increasing economic mobility for working adults by partnering with the largest employers in the country to offer education as a benefit to their employees via our marketplace of nonprofit universities and education institutions. Guild's proprietary technology platform facilitates the administration of this innovative benefit and our team of coaches helps each employee navigate the path back to school, providing individualized support from day one through program completion.

We are one of the few female-led companies to hit a $1 billion valuation and the only Certified B Corporation with those qualifications. Our Series D financing round was led by Ken Chenault, General Catalyst Partners chairman and former CEO of AMEX, and joined by Emerson Collective, LeadEdge Capital, and Iconiq.

Guild Education is an equal opportunity employer. We celebrate diversity and are committed to creating an inclusive environment for all employees. Additionally, we feel passionately about equal pay for equal work, and transparency in compensation is one vehicle to achieve that. Total compensation for this role is market competitive, including a base salary range of $90,000 - $100,000, as well as company stock options.",Guild Education,3.7,"Denver, CO",501 to 1000 Employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
Research Scientist - Immunology,-1,Research Scientist,"Position Summary:
The Research Scientist – Immunology candidate will possess previous research experience in immunology, biotechnology and drug development. The ideal candidate will have a PhD in biotech, immunology, bioinformatics or related field be well-versed in common laboratory practices, skills, and techniques to support preclinical, translational, and clinical studies. This candidate will work closely with the Associate Director of Inflammation & Immunology and the Chief Scientific Officer (CSO) and other Research and Development team members in the development of first-in-class, oral therapeutics for the treatment of autoimmune diseases. The candidate will be completely aligned with the four fundamental pillars of Landos' entrepreneurial and efficient corporate culture: 1) Be bold and decisive, 2) Never give up, 3) Be solution-oriented, and 4) Do the impossible.
Key Responsibilities:","Landos Biopharma, Inc.",-1,"Blacksburg, VA",-1,-1,-1,-1,-1,-1
Data Scientist,$71K - $125K (Glassdoor est.),Data Scientist,"LOCATION 4287 Route 130 S Edgewater Park NJ US 08010
Overview
The Data Scientist I will support business areas including Merchandising, Allocations, Marketing, IT and Supply Chain Analytics teams with insights gained from analyzing Burlington and external data. This associate will utilize theirexperience using a variety of data mining/data analysis methods, using a variety of data tools building and implementing models, using/creating algorithms and creating/running simulations.
Burlington is committed to being an employer of choice. We offer a competitive wage and benefit package including a generous paid time off plan, a company matched 401(k) and an associate discount. Our associates make a difference in the lives of customers, colleagues, and our communities through various social responsibility initiatives. As a growing company, we offer a variety of professional development and career growth opportunities.",Burlington Stores,3.3,"Edgewater Park, NJ",10000+ Employees,1972,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$5 to $10 billion (USD)
UAV Propulsion Modeling Engineer,$111K - $126K (Glassdoor est.),Reservoir Engineer,"Altran is the world leader in engineering and R&D services. We offer our clients a unique value proposition to meet their transformation and innovation challenges. We support our clients, from concept through industrialization, to develop the products and services of tomorrow and have been working for more than 35 years with major players in many sectors: automotive, aeronautics, space, defense & naval, rail, infrastructure & transportation, industrial & consumer products, life sciences, communications, semiconductor & electronics, software & internet, finance & public sector. Altran has more than 50,000 employees operating in over 30 countries. In April 2020, we became part of Capgemini, a global leader in consulting, digital transformation, technology and engineering services. Visit us at www.altran.com
Responsibilities
We are looking for engineers who combines superb technical, research and analytical capabilities with a demonstrated ability to get complex hardware, software, embedded, mobile and mission-critical systems up and running quickly and effectively.",Altran,-1,"Seattle, WA",-1,-1,-1,-1,-1,-1
"Scientist, Downstream Process Development",-1,Research Scientist,"POSITION SUMMARY:
The main responsibility of the Scientist is the development and execution of assigned downstream development tasks. Working with external and internal clients, the scientist will provide expertise and scientific leadership for design, development, optimization, and production of recombinant proteins, virus and virus like particles for Vaccine and Therapeutic Development. The incumbent is also responsible for maintaining a safe work environment as well as to establish and maintain excellent housekeeping practices through 5S implementation.
ESSENTIAL DUTIES AND RESPONSIBILITIES:
Develop robust, high-yield and scalable purification process (recombinant protein, virus and virus like particles) for Vaccine Development of Phase I/II candidates.
Develop, optimize and scale-up purification methods to meet cGMP and Regulatory Compliance using Design of Experiment (DOE) methods.",IDT Biologika,3.6,"Rockville, MD",1001 to 5000 Employees,2011,Unknown,Health Care Products Manufacturing,Manufacturing,$100 to $500 million (USD)
Clinical Research Molecular Scientist,-1,Clinical Research Associate,"ABSS Solutions, Inc. (ASI), is seeking a full-time Clinical Research Molecular Scientist to join our team in providing Medical Research support at Wright Patterson AFB. ASI administers a comprehensive research and development contract providing an array of research projects for customers across the DoD space. Our research teams work with educational institutions and other third party organizations to maximize readiness, and resilience for the men and women of our armed forces..

Summary:

Collaborates with enterprise-wide Principle Investigators, in order to develop research protocols that includes human subject research and associated IRB regulatory compliance approvals for the various pilot evaluations to also include animal subjects/ IACUC approvals.",1st American,2.7,"Dayton, OH",201 to 500 Employees,2007,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable
R&D Scientist II,-1,Research Engineer,"23 Mill Brook Road
Saco, Maine 04072
Fax: 207-885-1079 www.mmqci.com
_MAINE MOLECULAR QUALITY CONTROLS, INC. is HIRING!! _
_ _
R & D Scientist II – MOLECULAR DIAGNOSTICS
Maine Molecular Quality Controls, Inc. (MMQCI) designs, develops, manufactures, and markets unique quality control products used by hospital laboratories to monitor the accuracy of tests for inherited disease, pharmacogenetics, oncology, and infectious diseases. MMQCI also provides custom products to IVD manufacturers for test development, internal QC and kit controls. MMQCI has developed technologies to stabilize DNA and RNA for use as quality controls and continues to pursue the discovery of novel techniques useful for the development of new quality control products. We are a small, growing company that offers a relaxed but challenging work environment with opportunities to gain experience using the latest molecular biology tools.","Maine Molecular Quality Controls, Inc",1.0,"Saco, ME",1 to 50 Employees,-1,Company - Private,-1,-1,$1 to $5 million (USD)
Data Analyst,$33K - $57K (Glassdoor est.),Data Analyst,"Job Details
Description
MetroNet has an immediate opening for an energetic; Data Analyst in Evansville, IN!

At MetroNet, we pride ourselves on providing cutting-edge technology combined with outstanding customer care. We are a fast-growing telecommunication company, offering 100% fiber-optic technology. MetroNet specializes in fiber to the premise TV, voice and internet services that provide our customers with some of the fastest internet speeds in the world. Recognized for being one of the Best Places to Work in 2020 by Glassdoor. We are committed to revolutionizing the industry by enhancing the overall customer experience and optimizing the talent of our valued associates.",MetroNet,4.6,"Evansville, IN",1001 to 5000 Employees,2005,Company - Private,"Cable, Internet & Telephone Providers",Telecommunications,Unknown / Non-Applicable
Data Scientist,$86K - $150K (Glassdoor est.),Data Scientist,"Job Description Summary
Transamerica has been helping people feel better about the future for more than 100 years, and we’re proud of the trust we’ve earned. But we believe our responsibility goes beyond insurance, investments, and retirement accounts. We’re also in the business of helping people improve their financial and personal well-being, so they can add more years to their lives, and more life to their years.
Job Description
What You Will Do: As part of the Advanced Analytics group, the Data Scientist works with product managers, data engineers, and other data scientists to develop innovative solutions that transform the way Transamerica conducts business.
What You Will Learn: In this role, you will gain exposure to Transamerica’s rich history and culture. You will be working with a team of ambitious and engaged professionals who bring fresh ideas and diverse perspectives to help us continually shake up the status quo and stay on the forefront of reinventing how we meet our business partners’ needs.",Transamerica,3.0,"Denver, CO",5001 to 10000 Employees,1904,Subsidiary or Business Segment,Insurance Carriers,Insurance,$10+ billion (USD)
Sr Scientist- Downstream,-1,Research Scientist,"NexImmune is a clinical-stage biotechnology company developing a novel approach to immunotherapy designed to employ the body’s own T cells to generate a specific, potent, and durable immune response that mimics natural biology. We are seeking highly skilled and motivated individuals to join an entrepreneurial team of experienced professionals dedicated to science, patients and addressing diseases with significant unmet need. We are a company with an uncompromising commitment to shared values, a strong work ethic, and respect for individuals. We set clear expectations, empower people to succeed, and reward results. Our executive team, Board of Directors, and investors include several successful industry veterans committed to building an exceptional company capable of transforming the field of immunotherapy.
The backbone of NexImmune’s approach is its proprietary Artificial Immune Modulation (AIMTM) nanoparticle technology platform. The AIM technology enables NexImmune to construct nanoparticles that function as synthetic dendritic cells capable of directing a specific T cell-mediated immune response. By mimicking natural T cell biology, NexImmune’s T cell product candidates are designed to combine the attributes of cellular precision, potency, and persistence with reduced potential for undesired toxicities.",NexImmune,-1,"Gaithersburg, MD",-1,-1,-1,-1,-1,-1
Product Development Scientist,$61K - $84K (Glassdoor est.),Materials Scientist,"Product Development Scientist
Zentis is Europe's number one fruit processing company and one of the leading brand manufacturers of jams, sweets and custard-based dessert. The Company's North American operations are located in Philadelphia, Pennsylvania and Plymouth, Indiana, where we produce fruit and dairy preparations for a variety of customers including yogurt, ice cream and bakery manufacturers.
The Product Development Scientist is responsible for developing new products and technologies with strategically importance to Zentis, ultimately leading to the growth and stability of the business. This is accomplished by fostering close interactions with Sales and Zentis customers to effectively manage projects and develop new business.
The Scientist is also responsible for strategically influencing the business by monitoring the external market for consumer trends, new ingredients and processing technologies. As an active participant in the global Zentis R&D community, the Scientist stays current on internal Zentis development projects and innovation so that U.S. customers can benefit from Zentis’s global presence. Areas of focus include beverages, ice cream, bakery fillings and glazes and dairy or dairy-alternative product applications.",Zentis North America,-1,"Plymouth, IN",-1,-1,-1,-1,-1,-1
Lead Data Analyst,$48K - $82K (Glassdoor est.),Data Analyst,"PHEAA is a nonprofit student aid organization that holds a mission of providing affordable access to higher education.

Give back tomorrow by joining us today!

The Lead Data Analyst is responsible for the support, administration, and development of data across the enterprise. This position is responsible for ensuring data quality and maintaining standards to ensure consistency. Additionally, this role works closely with leaders across the organization to improve the quality of data.









Required Skills

Required Experience",Pennsylvania Higher Education Assistance Agency,3.0,"Harrisburg, PA",1001 to 5000 Employees,1963,Nonprofit Organization,Lending,Finance,$500 million to $1 billion (USD)
ETL QA/Data Analyst,$38K - $66K (Glassdoor est.),Data Analyst,"Sammons® Financial Group Companies offer some of today’s most sought after life insurance, annuity, and retirement planning products. Unlike most financial organizations, our companies are not publicly traded, which means we’re focused on long-term value rather than short-term earnings pressures. As a privately held company, our leaders and employees remain consistently focused on long-term growth, making decisions that allow us to deliver on our commitments to customers, distribution partners, our employees, and our communities. Individually, our companies provide value in the products and services they offer. Together we represent a history of strength and longevity.


What you can expect when you join Sammons Financial Group:
A casual dress code including jeans
A rich company culture driven by private ownership and intentional leadership inspiring employees to engage in our healthy, high-performing and values based culture
Qualifications:
Apply Now",Sammons Financial Group Companies,4.9,"Fargo, ND",1001 to 5000 Employees,1996,Company - Private,Insurance Carriers,Insurance,$1 to $2 billion (USD)
Staff Scientist II - Molecular Biology,$43K - $77K (Glassdoor est.),Biological Scientist,"PRIMARY FUNCTION:
Staff Scientist II will utilize their Molecular Biology experience and knowledge to work with a cross-functional team of cell and molecular biologists within the Gene Editing Institute. The successful candidate is expected to carry out the assigned projects mostly independently. Primary responsibilities include but are not limited to developing, optimizing, executing and analyzing in-silico, in-vitro and in-vivo CRISPR off-target assays for gene therapy products.
PRINCIPAL DUTIES AND RESPONSIBILITIES:
Design and optimize PCR reactions
Restriction digestion, conventional and seamless cloning",Christiana Care Health Systems,3.5,"Newark, DE",10000+ Employees,1970,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD)
Data Scientist,$88K - $145K (Glassdoor est.),Data Scientist,"Start a Rewarding Career with Alliant


What will your day look like?

The Data Scientist is responsible to lead the development, validation, documentation, and implementation of statistical and advanced machine learning models that are used for decisioning and product management throughout member lifecycle, including segmentation, optimization, and prescriptive analytics; work effectively with internal clients to understand the business needs, propose appropriate quantitative solutions, and develop data-driven recommendations to improve member experience and achieve business objectives; provide statistical and analytical inputs for the development and implementation of policies and business plans related to loan origination, portfolio management, loss forecasting and portfolio monitoring; proactively collaborate with cross-functional partners including Business Intelligence, Model Risk Management, and Information Technology (Database Engineers, Application Development and Information Security); and deliver effective presentations of analysis results and recommendations to multiple levels of leadership and business partners. The incumbent is a key contributor to the success of the Risk Analytics team.







You’ll be a great fit if in addition to an advanced degree (M.S./PhD) in Mathematics, Statistics, Quantitative Finance, Engineering, Computer Science, or other quantitative field required, and you have:




As a thank you for joining our team, you’ll benefit from:


We’re on the list of 100 Best Medium Companies to work for, check it out here. For more details you can also visit our Glassdoor and profiles.",Alliant Credit Union,3.4,"Rolling Meadows, IL",501 to 1000 Employees,1935,Nonprofit Organization,Banks & Credit Unions,Finance,$100 to $500 million (USD)
Experienced Lumber & Building Materials Data Analyst,-1,Data Analyst,"LOCAL CANDIDATES ONLY! This is not a remote position. Required in-office hours.
We have a great opportunity to join the MId-Cape Home Centers Purchasing Team! We're looking for someone with technical savvy to maintain all enterprise-level data for all products. In this role you will ensure all stock-keeping units (SKUs) adhere to company standards in terms of description, price, cost, and numerous other attributes. You'll be organizing all items into their proper groups and discontinue/disable items when necessary. The right candidate has experience maintaining Company Master Data. If you have experience in the lumber and building materials industry, that's a plus.
KEY RESPONSIBILITIES
Item Data Management",Mid-Cape Home Center,-1,"South Dennis, MA",Unknown,-1,Company - Public,-1,-1,Less than $1 million (USD)
Flight Control Data Engineer,$85K - $126K (Glassdoor est.),Data Engineer,"Altran is the world leader in engineering and R&D services. We offer our clients a unique value proposition to meet their transformation and innovation challenges. We support our clients, from concept through industrialization, to develop the products and services of tomorrow and have been working for more than 35 years with major players in many sectors: automotive, aeronautics, space, defense & naval, rail, infrastructure & transportation, industrial & consumer products, life sciences, communications, semiconductor & electronics, software & internet, finance & public sector. Altran has more than 50,000 employees operating in over 30 countries. In April 2020, we became part of Capgemini, a global leader in consulting, digital transformation, technology and engineering services. Visit us at www.altran.com
Responsibilities
In this role you will develop flight control algorithms, implement software, and test closed-loop performance for the Prime Air drone. The ideal candidate will have fundamental knowledge of simulation, dynamics, aerodynamics, design and analysis with practical real-life implementation experience.",Altran,-1,"Seattle, WA",-1,-1,-1,-1,-1,-1
